emotion,image_id,filename,score
anger,image_751,walter-darby-bannard_split-band-1962.jpg,-0.826
anger,image_140,pat-lipsky_sandwich-1969.jpg,-0.739
anger,image_0,georgia-o-keeffe_abstraction-white-rose.jpg,-0.727
anger,image_584,bernard-cohen_print-1-1967.jpg,-0.727
anger,image_261,ron-gorchov_foley-1967.jpg,-0.708
anger,image_727,olivier-debre_blanche-ocre-1973.jpg,-0.696
anger,image_656,donald-sultan_four-oranges-1993.jpg,-0.609
anger,image_174,fred-sandback_blue-day-glo-corner-piece-1968.jpg,-0.609
anger,image_401,willi-baumeister_happy-day-1947.jpg,-0.591
anger,image_479,larry-zox_vina-1977.jpg,-0.565
anger,image_121,terry-frost_green-black-and-white-movement-1951.jpg,-0.565
anger,image_687,giorgio-cavallon_untitled-1946.jpg,-0.545
anger,image_117,bernard-cohen_print-2-1967.jpg,-0.545
anger,image_239,willi-baumeister_aru-dark-blue-1955.jpg,-0.542
anger,image_900,lawren-harris_abstraction-30-1955.jpg,-0.522
anger,image_21,kazuo-nakamura_infinite-waves-1957.jpg,-0.5
anger,image_98,charlotte-posenenske_sprayed-picture-1965-1(1).jpg,-0.458
anger,image_742,edward-avedisian_untitled-203-watercolor-ball-1965.jpg,-0.455
anger,image_685,ben-nicholson_1932-painting-1932.jpg,-0.435
anger,image_589,john-mclaughlin_number-14-1963.jpg,-0.435
anger,image_390,giulio-turcato_il-tunnel-1970.jpg,-0.435
anger,image_808,sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,-0.429
anger,image_233,barnett-newman_moment-1946.jpg,-0.417
anger,image_761,jean-messagier_composition-1950.jpg,-0.417
anger,image_344,morris-louis_number-182-1961.jpg,-0.391
anger,image_877,william-turnbull_18-1963-1963.jpg,-0.375
anger,image_813,leon-berkowitz_seven-lights-series-1975.jpg,-0.375
anger,image_474,wladyslaw-strzeminski_oak-1934.jpg,-0.375
anger,image_868,ad-reinhardt_abstract-painting-red-1952.jpg,-0.348
anger,image_824,cesar-paternosto_verano-summer-from-the-color-field-soho-series-1967.jpg,-0.348
anger,image_303,princess-fahrelnissa-zeid_the-arena-of-the-sun-1954.jpg,-0.348
anger,image_557,giulio-paolini_disegno-geometrico-1960.jpg,-0.348
anger,image_356,dan-christensen_crux-1969.jpg,-0.348
anger,image_764,jacques-h-rold_moon-flowers.jpg,-0.348
anger,image_358,balcomb-greene_the-nautical-land-1943.jpg,-0.333
anger,image_6,theodoros-stamos_classic-yellow-sun-box-1968.jpg,-0.333
anger,image_782,david-kakabadze_sailboats-1921(1).jpg,-0.318
anger,image_405,walter-darby-bannard_hopewell-valley-sun-1959.jpg,-0.318
anger,image_179,willi-baumeister_mask-4-1936.jpg,-0.318
anger,image_887,friedel-dzubas_sartoris-1963.jpg,-0.318
anger,image_41,friedel-dzubas_ascona-1976.jpg,-0.3
anger,image_64,nasreen-mohamedi_untitled-1969.jpg,-0.292
anger,image_608,rupprecht-geiger_goulimine-1964.jpg,-0.273
anger,image_551,mark-rothko_no-3-1953.jpg,-0.273
anger,image_752,ray-parker_kate-for-your-birthday-1964.jpg,-0.261
anger,image_220,louis-cane_les-grilles-1976.jpg,-0.261
anger,image_145,ron-gorchov_lure-ii-1976.jpg,-0.261
anger,image_191,patrick-heron_horizontal-stripe-painting-november-1957-january-1958-1958.jpg,-0.261
anger,image_613,gustave-singier_les-dunes-et-le-port-1951.jpg,-0.261
anger,image_438,arthur-dove_foghorns-1929.jpg,-0.25
anger,image_610,jiro-yoshihara_work-1965.jpg,-0.25
anger,image_243,mark-rothko_no-2-1964.jpg,-0.25
anger,image_684,ernst-wilhelm-nay_oberon-1949.jpg,-0.25
anger,image_716,bradley-walker-tomlin_all-souls-night-1947.jpg,-0.227
anger,image_122,christo-coetzee_rose-sand-1958.jpg,-0.217
anger,image_293,vilhelm-lundstrom_composition-i-1918.jpg,-0.217
anger,image_542,frank-stella_the-marriage-of-reason-and-squalor-1959.jpg,-0.208
anger,image_245,stuart-davis_hot-still-scape-for-six-colors-7th-avenue-style-1940.jpg,-0.182
anger,image_754,mira-schendel_untitled-1963(1).jpg,-0.174
anger,image_408,gene-davis_red-devil-1959(1).jpg,-0.174
anger,image_450,angelo-de-sousa_pintura-1974.jpg,-0.143
anger,image_230,menez_sem-t-tulo-1954.jpg,-0.136
anger,image_677,lee-krasner_noon-1947.jpg,-0.13
anger,image_599,terry-frost_yellow-triptych-1959.jpg,-0.13
anger,image_518,marc-vaux_blossom-1964.jpg,-0.125
anger,image_52,roger-bissi-re_composition-in-blue-1959.jpg,-0.125
anger,image_459,fernand-leduc_passage-rosion-1968.jpg,-0.125
anger,image_890,fernando-lanhas_o2-43-44-ou-o-violino-1944.jpg,-0.125
anger,image_460,ray-parker_untitled-1961.jpg,-0.125
anger,image_274,mark-rothko_red-1968.jpg,-0.1
anger,image_846,richards-ruben_summer-3-1957.jpg,-0.091
anger,image_553,jacoba-van-heemskerck_abstract-composition.jpg,-0.091
anger,image_540,karl-otto-gotz_gilgamesh-1947.jpg,-0.091
anger,image_163,yves-klein_untitled-pink-monochrome-1956.jpg,-0.087
anger,image_115,john-ferren_contemplations-on-geraniums-1952.jpg,-0.087
anger,image_720,morris-louis_seal-1959.jpg,-0.087
anger,image_215,francois-arnal_la-louisiane-1949.jpg,-0.087
anger,image_319,ad-reinhardt_abstract-painting-1961.jpg,-0.087
anger,image_17,jean-arp_abstract-composition.jpg,-0.083
anger,image_527,janos-mattis-teutsch_composition-1923-1(8).jpg,-0.043
anger,image_428,antonio-calderara_spazio-luce-1963.jpg,-0.043
anger,image_302,wassily-kandinsky_black-and-violet-1923.jpg,-0.043
anger,image_733,perle-fine_untitled-1940.jpg,-0.042
anger,image_672,richard-mortensen_ajaccio-i-1959.jpg,-0.042
anger,image_254,john-ferren_red-spot-1954.jpg,0.0
anger,image_267,manuel-rivera_espejo-del-duende-1963.jpg,0.0
anger,image_724,roger-bissi-re_october-1955.jpg,0.0
anger,image_654,jean-arp_configuration.jpg,0.0
anger,image_491,david-bomberg_the-mud-bath-1914.jpg,0.0
anger,image_676,manuel-rivera_metamorphosis-1959.jpg,0.0
anger,image_97,natalia-dumitresco_on-me-fait-signe-1964.jpg,0.0
